Unnamed: 0,accuracy,precision,recall,f1,roc,Topsis Score,Rank
roberta-base,0.47,0.47,1.0,0.6227834387834391,0.5,0.10829480304251136,3.5
bert-base-uncased,0.5075,0.4887857142857143,1.0,0.6397276057276059,0.5347619047619048,0.0,5.0
albert-base-v2,0.42,0.4217619047619047,0.5913333333333336,0.4669488289488289,0.4321904761904762,0.6291052191425067,2.0
distilbert-base-uncased,0.47,0.47,1.0,0.6227834387834391,0.5,0.10829480304251136,3.5
xlnet-base-cased,0.47,0.3906666666666667,0.3356666666666666,0.3386435786435787,0.4511428571428571,0.8988088755925624,1.0
